"","country","city","total_aqi"
"1","Algeria","Algiers",49
"2","Benin","Cotonou",13
"3","Botswana","Gaborone",23
"4","Burkina Faso","Ouagadougou",41
"5","Burundi","Bujumbura",8
"6","Cameroon","Douala",15
"7","Central African Republic","Bangui",3
"8","Chad","N'Djamena",135
"9","Comoros","Moroni",20
"10","Congo","Brazzaville",10
"11","Côte d'Ivoire","Abidjan",13
"12","Democratic Republic of the Congo","Kinshasa",10
"13","Equatorial Guinea","Malabo",15
"14","Eswatini","Mbabane",30
"15","Ethiopia","Addis Ababa",53
"16","Gabon","Libreville",22
"17","Gambia","Banjul",103
"18","Ghana","Accra",14
"19","Guinea","Conakry",147
"20","Guinea-Bissau","Bissau",128
"21","Kenya","Nairobi",14
"22","Lesotho","Maseru",19
"23","Liberia","Monrovia",26
"24","Madagascar","Antananarivo",8
"25","Malawi","Lilongwe",13
"26","Mali","Bamako",60
"27","Mauritania","Nouakchott",89
"28","Mozambique","Maputo",38
"29","Namibia","Windhoek",34
"30","Niger","Niamey",NA
"31","Nigeria","Lagos",13
"32","Rwanda","Kigali",58
"33","Senegal","Dakar",83
"34","Sierra Leone","Freetown",118
"35","South Africa","Johannesburg",35
"36","South Sudan","Juba",8
"37","Togo","Lomé",13
"38","Uganda","Kampala",16
"39","United Republic of Tanzania","Dar es Salaam",6
"40","Zambia","Lusaka",13
"41","Zimbabwe","Harare",17
"42","Antigua and Barbuda","St. John's",78
"43","Argentina","Buenos Aires",31
"44","Bahamas","Nassau",81
"45","Barbados","Bridgetown",42
"46","Belize","Belize City",33
"47","Bolivia (Plurinational State of)","Santa Cruz",136
"48","Brazil","São Paulo",23
"49","Canada","Toronto",182
"50","Chile","Santiago",30
"51","Colombia","Bogotá",81
"52","Costa Rica","San José",33
"53","Cuba","Havana",58
"54","Dominican Republic","Santo Domingo",48
"55","Ecuador","Guayaquil",30
"56","El Salvador","San Salvador",64
"57","Guatemala","Guatemala City",89
"58","Guyana","Georgetown",21
"59","Haiti","Port-au-Prince",43
"60","Honduras","Tegucigalpa",57
"61","Jamaica","Kingston",40
"62","Mexico","Mexico City",98
"63","Nicaragua","Managua",32
